dim 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dim 1
2 5 0.001896
2 6 0.001896
2 44 0.000005
2 57 0.000417
2 84 0.105976
2 88 0.317928
2 107 0.317928
2 108 0.105976
2 109 0.109460
2 150 0.000002
2 151 0.000001
2 168 0.000160
2 230 0.000392
2 231 0.000025
2 236 0.000091
2 329 0.000824
2 421 0.000001
2 432 0.000001
2 550 0.000001
2 623 0.000162
2 705 0.000051
2 734 0.002061
2 781 0.000012
2 829 0.000006
2 858 0.000005
2 877 0.000005
2 890 0.000001
2 952 0.000001
2 964 0.000018
2 984 0.000002
2 1133 0.015896
2 1258 0.000824
2 1345 0.000003
2 1388 0.015896
2 1672 0.000001
2 1720 0.000006
2 1760 0.000001
2 1788 0.000157
2 1860 0.000005
4 2 0.078928
4 5 0.078928
4 6 0.078929
4 26 0.000005
4 32 0.000005
4 44 0.000249
4 51 0.000004
4 57 0.021172
4 100 0.000007
4 109 0.467700
4 118 0.000023
4 150 0.000090
4 151 0.000072
4 160 0.000004
4 167 0.000002
4 168 0.008145
4 179 0.000002
4 197 0.000005
4 200 0.000006
4 202 0.000009
4 203 0.000002
4 230 0.019876
4 231 0.001292
4 236 0.004596
4 276 0.000001
4 329 0.041845
4 394 0.000003
4 395 0.000001
4 396 0.000001
4 398 0.000001
4 421 0.000070
4 425 0.000001
4 432 0.000026
4 433 0.000001
4 441 0.000002
4 549 0.000008
4 550 0.000046
4 551 0.000002
4 552 0.000007
4 554 0.000005
4 577 0.000006
4 578 0.000002
4 586 0.000013
4 623 0.022762
4 644 0.000001
4 681 0.000002
4 683 0.000001
4 686 0.000001
4 705 0.002608
4 734 0.104613
4 744 0.000001
4 778 0.000001
4 779 0.000008
4 780 0.000016
4 781 0.000598
4 817 0.000009
4 818 0.000019
4 829 0.000299
4 849 0.000001
4 858 0.000249
4 877 0.000249
4 890 0.000069
4 892 0.000002
4 927 0.000001
4 951 0.000001
4 952 0.000071
4 964 0.000898
4 965 0.000001
4 974 0.000003
4 978 0.000002
4 984 0.000105
4 1025 0.000002
4 1027 0.000001
4 1029 0.000002
4 1100 0.000001
4 1137 0.000005
4 1157 0.000019
4 1172 0.000001
4 1177 0.000016
4 1179 0.000001
4 1231 0.000008
4 1254 0.000016
4 1258 0.041845
4 1281 0.000002
4 1320 0.000002
4 1321 0.000001
4 1322 0.000001
4 1343 0.000002
4 1344 0.000002
4 1345 0.000141
4 1346 0.000006
4 1350 0.000001
4 1364 0.000001
4 1424 0.000001
4 1453 0.000002
4 1459 0.000001
4 1494 0.000002
4 1593 0.000001
4 1622 0.000001
4 1672 0.000031
4 1676 0.000009
4 1720 0.000299
4 1731 0.000020
4 1760 0.000072
4 1788 0.022513
4 1792 0.000003
4 1819 0.000003
4 1820 0.000008
4 1860 0.000249
4 1890 0.000004
4 1898 0.000005
4 1911 0.000001
5 2 0.001952
5 6 0.001952
5 44 0.000006
5 57 0.000504
5 109 0.304442
5 118 0.000001
5 150 0.000002
5 151 0.000002
5 168 0.050323
5 230 0.000473
5 231 0.000031
5 236 0.100366
5 329 0.000995
5 421 0.000002
5 432 0.000001
5 550 0.000001
5 569 0.015874
5 623 0.000169
5 705 0.000062
5 734 0.002488
5 781 0.000014
5 829 0.000007
5 858 0.000006
5 877 0.000006
5 890 0.000002
5 952 0.000002
5 964 0.000021
5 984 0.000003
5 1139 0.300772
5 1238 0.200514
5 1258 0.000995
5 1345 0.000003
5 1388 0.015874
5 1672 0.000001
5 1720 0.000007
5 1760 0.000002
5 1788 0.000163
5 1860 0.000006
6 2 0.017179
6 5 0.017179
6 18 0.000001
6 21 0.000003
6 26 0.000006
6 32 0.000006
6 35 0.000003
6 37 0.000028
6 39 0.000001
6 43 0.000075
6 44 0.000127
6 47 0.000041
6 51 0.002780
6 55 0.000026
6 57 0.004432
6 64 0.000790
6 65 0.000049
6 66 0.000021
6 68 0.000040
6 69 0.000003
6 71 0.000183
6 72 0.000007
6 76 0.000259
6 80 0.000008
6 100 0.000004
6 102 0.000002
6 109 0.032307
6 118 0.000026
6 133 0.000050
6 140 0.000041
6 141 0.000001
6 147 0.000004
6 148 0.000073
6 150 0.000654
6 151 0.000078
6 157 0.000038
6 158 0.000345
6 160 0.000140
6 163 0.009484
6 165 0.000030
6 167 0.001210
6 168 0.001705
6 169 0.000004
6 170 0.000179
6 171 0.000001
6 172 0.002489
6 173 0.000018
6 174 0.000037
6 175 0.000075
6 179 0.001198
6 180 0.000005
6 181 0.000058
6 188 0.000018
6 190 0.000013
6 197 0.000061
6 198 0.000003
6 200 0.000777
6 202 0.000007
6 203 0.000004
6 215 0.000014
6 217 0.000001
6 218 0.000002
6 228 0.000773
6 229 0.000010
6 230 0.016387
6 231 0.000271
6 236 0.000962
6 239 0.000047
6 242 0.000895
6 243 0.000243
6 245 0.000858
6 271 0.000897
6 274 0.000045
6 276 0.000001
6 280 0.000604
6 281 0.001427
6 286 0.011386
6 320 0.000030
6 321 0.000729
6 322 0.000729
6 323 0.005209
6 327 0.000114
6 329 0.008760
6 335 0.000030
6 342 0.000010
6 344 0.000001
6 347 0.000164
6 349 0.000026
6 353 0.000037
6 355 0.000039
6 378 0.000064
6 380 0.000001
6 389 0.000003
6 391 0.000030
6 394 0.002224
6 395 0.000556
6 396 0.000556
6 397 0.000005
6 398 0.000372
6 399 0.000100
6 409 0.000594
6 417 0.000030
6 418 0.000033
6 421 0.000025
6 423 0.139726
6 425 0.002736
6 432 0.000180
6 433 0.001824
6 436 0.000004
6 437 0.000021
6 441 0.001102
6 443 0.000107
6 444 0.000987
6 446 0.000010
6 450 0.000001
6 455 0.000001
6 478 0.006942
6 497 0.000474
6 512 0.000002
6 513 0.000066
6 519 0.000987
6 521 0.003487
6 522 0.000595
6 523 0.000040
6 524 0.000002
6 525 0.000027
6 530 0.000001
6 540 0.000058
6 542 0.000001
6 547 0.000001
6 549 0.010889
6 550 0.000053
6 551 0.000002
6 552 0.000006
6 554 0.000004
6 555 0.000001
6 556 0.000003
6 560 0.000044
6 564 0.000006
6 566 0.000001
6 572 0.000037
6 575 0.001036
6 577 0.018314
6 578 0.202684
6 579 0.007613
6 580 0.008188
6 586 0.003452
6 591 0.000030
6 597 0.000025
6 598 0.000037
6 602 0.000009
6 605 0.000009
6 606 0.000007
6 608 0.000080
6 610 0.000260
6 613 0.000001
6 620 0.000681
6 622 0.000006
6 623 0.001733
6 624 0.000009
6 644 0.000002
6 645 0.000001
6 647 0.000016
6 655 0.000002
6 659 0.000038
6 663 0.000009
6 664 0.000011
6 667 0.000008
6 679 0.000089
6 680 0.000042
6 681 0.004564
6 683 0.002737
6 688 0.000011
6 693 0.000001
6 695 0.000001
6 701 0.000101
6 704 0.000150
6 705 0.000546
6 706 0.000108
6 707 0.027912
6 710 0.000005
6 720 0.000002
6 732 0.000002
6 734 0.021938
6 738 0.000001
6 744 0.000156
6 750 0.000001
6 766 0.000002
6 767 0.000002
6 769 0.000001
6 770 0.000001
6 773 0.000004
6 776 0.000116
6 777 0.000457
6 778 0.000504
6 779 0.000050
6 780 0.000013
6 781 0.000126
6 787 0.000259
6 792 0.000016
6 807 0.000085
6 810 0.000594
6 811 0.000005
6 817 0.000004
6 818 0.000576
6 821 0.000126
6 825 0.000259
6 829 0.000063
6 831 0.000067
6 834 0.000001
6 836 0.000196
6 837 0.000019
6 849 0.000002
6 852 0.000003
6 858 0.000052
6 866 0.000041
6 873 0.000037
6 877 0.025802
6 878 0.000002
6 887 0.000003
6 890 0.000077
6 892 0.000008
6 900 0.000005
6 908 0.000002
6 918 0.000001
6 919 0.000001
6 923 0.000002
6 925 0.000004
6 927 0.000048
6 928 0.000011
6 930 0.000003
6 940 0.012694
6 941 0.030659
6 943 0.019357
6 947 0.000139
6 950 0.000001
6 951 0.000070
6 952 0.000027
6 958 0.000066
6 961 0.000001
6 964 0.000255
6 965 0.000001
6 967 0.001395
6 973 0.003527
6 974 0.000089
6 975 0.001540
6 977 0.000047
6 978 0.000002
6 984 0.000037
6 986 0.000011
6 988 0.000037
6 991 0.000001
6 996 0.000033
6 999 0.000001
6 1005 0.000131
6 1024 0.003769
6 1025 0.000021
6 1027 0.000129
6 1029 0.000009
6 1032 0.000008
6 1034 0.000019
6 1036 0.000001
6 1040 0.000019
6 1041 0.000031
6 1042 0.008583
6 1043 0.000001
6 1057 0.000001
6 1062 0.000010
6 1063 0.000001
6 1064 0.000004
6 1068 0.003877
6 1072 0.003322
6 1076 0.005323
6 1082 0.000001
6 1084 0.000037
6 1100 0.000411
6 1101 0.004185
6 1102 0.002096
6 1107 0.000052
6 1114 0.000001
6 1116 0.000675
6 1118 0.000001
6 1124 0.000003
6 1126 0.000001
6 1136 0.000385
6 1137 0.000006
6 1139 0.025750
6 1145 0.000598
6 1146 0.000297
6 1148 0.001795
6 1156 0.000001
6 1157 0.000576
6 1172 0.000002
6 1173 0.000001
6 1176 0.000366
6 1177 0.001358
6 1179 0.000001
6 1193 0.012226
6 1197 0.000001
6 1198 0.000243
6 1199 0.009055
6 1200 0.001197
6 1204 0.000405
6 1216 0.016856
6 1217 0.000594
6 1220 0.000001
6 1231 0.000049
6 1254 0.001168
6 1257 0.000318
6 1258 0.020986
6 1268 0.000009
6 1281 0.000071
6 1283 0.000988
6 1284 0.000001
6 1286 0.000001
6 1296 0.000148
6 1304 0.000001
6 1319 0.000003
6 1320 0.000011
6 1321 0.000009
6 1322 0.000012
6 1323 0.000047
6 1329 0.000001
6 1339 0.000002
6 1340 0.000046
6 1342 0.000030
6 1343 0.000137
6 1344 0.000068
6 1345 0.000049
6 1346 0.000211
6 1349 0.005484
6 1350 0.000001
6 1358 0.000070
6 1364 0.000007
6 1369 0.000008
6 1373 0.000165
6 1377 0.000001
6 1379 0.000064
6 1382 0.000003
6 1383 0.000001
6 1398 0.000006
6 1407 0.000006
6 1413 0.000019
6 1424 0.000002
6 1432 0.000175
6 1433 0.000058
6 1447 0.000087
6 1448 0.000238
6 1449 0.000004
6 1452 0.000007
6 1453 0.000243
6 1454 0.000001
6 1457 0.000150
6 1459 0.000027
6 1479 0.000001
6 1483 0.000108
6 1485 0.000013
6 1492 0.000001
