dim 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dim 1
1 2 0.004926
1 3 0.157635
1 30 0.019704
1 32 0.004926
1 36 0.059113
1 42 0.019704
1 44 0.024631
1 101 0.004926
1 123 0.009852
1 132 0.019704
1 135 0.009852
1 146 0.019704
1 159 0.009852
1 161 0.024631
1 211 0.024631
1 255 0.014778
1 281 0.004926
1 302 0.014778
1 312 0.285714
1 323 0.004926
1 397 0.004926
1 477 0.064039
1 652 0.009852
1 856 0.004926
1 1014 0.014778
1 1271 0.039409
1 1312 0.004926
1 1440 0.009852
1 1626 0.078818
1 1655 0.004926
1 1675 0.014778
1 1779 0.004926
1 1790 0.004926
3 1 0.098870
3 2 0.019774
3 4 0.002825
3 9 0.002825
3 26 0.011299
3 27 0.002825
3 32 0.053672
3 36 0.025424
3 41 0.005650
3 42 0.011299
3 44 0.014124
3 51 0.019774
3 58 0.002825
3 60 0.002825
3 62 0.002825
3 68 0.008475
3 72 0.019774
3 83 0.002825
3 84 0.008475
3 88 0.002825
3 99 0.002825
3 105 0.002825
3 132 0.014124
3 135 0.022599
3 144 0.002825
3 146 0.005650
3 155 0.011299
3 172 0.002825
3 173 0.002825
3 176 0.008475
3 180 0.005650
3 185 0.002825
3 194 0.005650
3 199 0.002825
3 221 0.005650
3 224 0.002825
3 234 0.005650
3 242 0.005650
3 243 0.002825
3 249 0.019774
3 252 0.005650
3 257 0.005650
3 281 0.005650
3 283 0.002825
3 285 0.002825
3 288 0.002825
3 302 0.002825
3 308 0.008475
3 312 0.011299
3 317 0.002825
3 323 0.002825
3 333 0.002825
3 338 0.002825
3 346 0.002825
3 371 0.002825
3 372 0.016949
3 374 0.002825
3 385 0.002825
3 394 0.002825
3 408 0.002825
3 415 0.002825
3 475 0.002825
3 477 0.005650
3 482 0.011299
3 487 0.002825
3 488 0.002825
3 495 0.002825
3 498 0.011299
3 504 0.002825
3 509 0.002825
3 545 0.005650
3 555 0.005650
3 569 0.005650
3 582 0.002825
3 590 0.002825
3 610 0.002825
3 611 0.002825
3 615 0.002825
3 618 0.002825
3 640 0.005650
3 641 0.002825
3 645 0.002825
3 652 0.002825
3 681 0.002825
3 687 0.008475
3 697 0.002825
3 700 0.005650
3 701 0.002825
3 711 0.002825
3 731 0.002825
3 740 0.005650
3 741 0.002825
3 752 0.005650
3 754 0.005650
3 768 0.002825
3 778 0.002825
3 781 0.002825
3 782 0.002825
3 790 0.005650
3 794 0.002825
3 800 0.014124
3 810 0.002825
3 814 0.002825
3 823 0.005650
3 824 0.005650
3 840 0.002825
3 846 0.002825
3 865 0.002825
3 881 0.002825
3 893 0.002825
3 928 0.002825
3 933 0.002825
3 970 0.002825
3 1042 0.002825
3 1103 0.002825
3 1110 0.008475
3 1113 0.002825
3 1117 0.002825
3 1127 0.002825
3 1154 0.005650
3 1167 0.002825
3 1180 0.002825
3 1183 0.002825
3 1185 0.005650
3 1187 0.002825
3 1189 0.005650
3 1190 0.002825
3 1192 0.002825
3 1196 0.002825
3 1208 0.002825
3 1231 0.002825
3 1237 0.005650
3 1249 0.002825
3 1262 0.002825
3 1270 0.002825
3 1281 0.002825
3 1285 0.011299
3 1288 0.002825
3 1315 0.002825
3 1317 0.005650
3 1335 0.002825
3 1340 0.005650
3 1343 0.002825
3 1344 0.002825
3 1349 0.002825
3 1352 0.002825
3 1371 0.002825
3 1373 0.002825
3 1412 0.002825
3 1415 0.002825
3 1419 0.002825
3 1440 0.008475
3 1461 0.002825
3 1463 0.002825
3 1501 0.002825
3 1510 0.005650
3 1565 0.002825
3 1577 0.011299
3 1578 0.002825
3 1585 0.002825
3 1609 0.002825
3 1620 0.002825
3 1626 0.002825
3 1649 0.002825
3 1662 0.002825
3 1711 0.002825
3 1713 0.014124
3 1728 0.002825
3 1738 0.002825
3 1748 0.002825
3 1751 0.002825
3 1784 0.002825
3 1793 0.002825
3 1795 0.002825
3 1807 0.002825
5 2 1.000000
6 7 0.008621
6 48 0.008621
6 73 0.034483
6 84 0.008621
6 88 0.008621
6 90 0.008621
6 122 0.017241
6 124 0.034483
6 146 0.008621
6 201 0.008621
6 212 0.034483
6 221 0.017241
6 252 0.017241
6 278 0.017241
6 299 0.008621
6 325 0.017241
6 335 0.008621
6 343 0.008621
6 376 0.017241
6 378 0.094828
6 404 0.017241
6 413 0.112069
6 422 0.043103
6 439 0.008621
6 472 0.008621
6 479 0.025862
6 481 0.060345
6 515 0.008621
6 540 0.025862
6 566 0.008621
6 578 0.017241
6 591 0.008621
6 597 0.008621
6 603 0.017241
6 636 0.008621
6 642 0.008621
6 686 0.008621
6 687 0.008621
6 712 0.112069
6 753 0.043103
6 794 0.008621
6 833 0.008621
6 1020 0.008621
6 1174 0.008621
6 1180 0.017241
8 7 0.016949
8 9 0.101695
8 19 0.016949
8 23 0.016949
8 32 0.135593
8 58 0.016949
8 84 0.016949
8 99 0.050847
8 164 0.033898
8 250 0.033898
8 254 0.050847
8 346 0.033898
8 349 0.016949
8 395 0.016949
8 403 0.016949
8 430 0.016949
8 557 0.016949
8 624 0.016949
8 644 0.067797
8 771 0.033898
8 834 0.067797
8 1000 0.050847
8 1189 0.016949
8 1238 0.016949
8 1285 0.050847
8 1522 0.016949
8 1756 0.033898
8 1799 0.016949
9 8 0.051329
9 10 0.000917
9 11 0.000917
9 12 0.001833
9 14 0.001833
9 15 0.000917
9 16 0.000917
9 17 0.000917
9 18 0.000917
9 20 0.000917
9 22 0.001833
9 24 0.000917
9 27 0.003666
9 32 0.022915
9 34 0.002750
9 40 0.000917
9 49 0.000917
9 52 0.002750
9 56 0.001833
9 58 0.005500
9 61 0.001833
9 64 0.000917
9 67 0.000917
9 72 0.010082
9 76 0.002750
9 78 0.000917
9 86 0.000917
9 88 0.000917
9 97 0.009166
9 101 0.000917
9 109 0.004583
9 120 0.000917
9 121 0.000917
9 127 0.003666
9 132 0.000917
9 135 0.004583
9 136 0.000917
9 142 0.009166
9 144 0.003666
9 148 0.000917
9 149 0.000917
9 150 0.000917
9 151 0.000917
9 152 0.000917
9 153 0.000917
9 154 0.000917
9 157 0.000917
9 165 0.000917
9 175 0.008249
9 177 0.019248
9 190 0.000917
9 194 0.001833
9 209 0.001833
9 212 0.009166
9 216 0.000917
9 233 0.001833
9 235 0.001833
9 244 0.000917
9 251 0.000917
9 252 0.000917
9 256 0.001833
9 260 0.002750
9 262 0.000917
9 282 0.045830
9 288 0.016499
9 294 0.000917
9 295 0.001833
9 299 0.008249
9 308 0.008249
9 311 0.003666
9 313 0.001833
9 314 0.001833
9 315 0.000917
9 316 0.007333
9 317 0.000917
9 318 0.002750
9 330 0.000917
9 343 0.001833
9 358 0.002750
9 366 0.002750
9 368 0.001833
9 371 0.000917
9 386 0.000917
9 389 0.006416
9 391 0.006416
9 405 0.005500
9 409 0.009166
9 411 0.001833
9 460 0.000917
9 463 0.000917
9 465 0.003666
9 466 0.001833
9 472 0.000917
9 477 0.001833
9 482 0.001833
9 498 0.000917
9 502 0.000917
9 514 0.004583
9 527 0.004583
9 528 0.000917
9 543 0.001833
9 561 0.000917
9 566 0.002750
9 569 0.081577
9 596 0.000917
9 598 0.038497
9 601 0.013749
9 607 0.007333
9 617 0.009166
9 626 0.004583
9 636 0.000917
9 638 0.001833
9 640 0.003666
9 652 0.003666
9 654 0.000917
9 658 0.000917
9 679 0.012832
9 681 0.003666
9 683 0.021998
9 686 0.000917
9 697 0.005500
9 699 0.000917
9 708 0.002750
9 711 0.010999
9 713 0.000917
9 724 0.000917
9 740 0.000917
9 753 0.017415
9 766 0.001833
9 771 0.001833
9 783 0.001833
9 784 0.000917
