dim 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dim 1
1 47 0.125000
1 832 0.875000
2 679 1.000000
3 424 0.000354
3 1688 0.999646
4 685 1.000000
6 47 1.000000
7 679 1.000000
8 1217 0.500000
8 1729 0.500000
9 91 1.000000
11 679 0.995215
11 1494 0.004785
12 227 0.400000
12 505 0.550000
12 509 0.050000
13 505 1.000000
15 47 1.000000
16 844 1.000000
17 227 1.000000
19 679 1.000000
20 70 0.935673
20 88 0.015595
20 464 0.015595
20 1131 0.003899
20 1262 0.023392
20 1652 0.001949
20 1739 0.003899
21 679 1.000000
22 679 1.000000
23 679 1.000000
24 679 1.000000
27 505 0.857143
27 1416 0.142857
29 78 0.000230
29 114 0.090673
29 117 0.000114
29 134 0.000039
29 169 0.000097
29 173 0.000123
29 206 0.000080
29 296 0.000056
29 300 0.000053
29 311 0.003244
29 317 0.149144
29 381 0.000073
29 391 0.000365
29 403 0.000036
29 432 0.000259
29 435 0.108671
29 489 0.000138
29 526 0.019326
29 534 0.000024
29 576 0.000024
29 609 0.000005
29 610 0.000053
29 619 0.000370
29 691 0.000029
29 709 0.070043
29 716 0.000926
29 727 0.000005
29 731 0.000239
29 760 0.000215
29 766 0.000344
29 880 0.000181
29 899 0.000121
29 902 0.002937
29 918 0.000053
29 978 0.000073
29 982 0.173905
29 989 0.000022
29 994 0.000053
29 1022 0.000191
29 1029 0.000002
29 1066 0.000114
29 1101 0.021389
29 1109 0.000353
29 1200 0.175298
29 1246 0.003525
29 1252 0.112408
29 1258 0.048596
29 1264 0.000005
29 1270 0.000031
29 1313 0.000005
29 1359 0.000077
29 1374 0.000094
29 1391 0.000365
29 1435 0.008256
29 1460 0.000002
29 1463 0.000002
29 1504 0.000005
29 1517 0.000005
29 1628 0.000090
29 1664 0.001224
29 1700 0.000005
29 1837 0.005615
30 391 0.968396
30 478 0.001182
30 485 0.009796
30 590 0.000557
30 719 0.013492
30 978 0.001332
30 1461 0.000666
30 1470 0.001821
30 1482 0.000041
30 1664 0.002717
31 185 0.003344
31 505 0.004300
31 600 0.004300
31 712 0.015289
31 1165 0.022456
31 1207 0.032489
31 1217 0.716675
31 1349 0.030100
31 1446 0.118012
31 1729 0.033445
31 1742 0.019589
32 75 0.000041
32 76 0.000132
32 82 0.000039
32 114 0.048102
32 123 0.005149
32 145 0.000040
32 158 0.000001
32 169 0.000217
32 176 0.000002
32 206 0.001195
32 211 0.000240
32 215 0.000332
32 216 0.000018
32 239 0.000023
32 240 0.000868
32 246 0.023903
32 311 0.000077
32 317 0.000196
32 321 0.000004
32 327 0.000867
32 334 0.000106
32 343 0.000007
32 355 0.000021
32 356 0.000282
32 358 0.000806
32 379 0.065166
32 381 0.000090
32 383 0.000045
32 389 0.110336
32 391 0.103549
32 435 0.000599
32 452 0.000030
32 478 0.011612
32 485 0.000257
32 494 0.000051
32 500 0.000116
32 507 0.000066
32 526 0.000671
32 585 0.000582
32 595 0.000025
32 612 0.000002
32 622 0.000001
32 677 0.000116
32 683 0.026606
32 685 0.000014
32 686 0.000105
32 691 0.000003
32 709 0.013357
32 711 0.036407
32 716 0.000021
32 718 0.000011
32 719 0.000528
32 731 0.000149
32 749 0.000172
32 757 0.000001
32 760 0.000001
32 766 0.000009
32 874 0.000051
32 875 0.056238
32 877 0.051553
32 879 0.008060
32 902 0.000894
32 903 0.000015
32 918 0.000146
32 964 0.007915
32 978 0.012853
32 982 0.014003
32 989 0.025940
32 994 0.000005
32 997 0.000002
32 998 0.000016
32 1011 0.000231
32 1022 0.000123
32 1029 0.000059
32 1047 0.000011
32 1061 0.000000
32 1066 0.000022
32 1068 0.027155
32 1072 0.000524
32 1162 0.028145
32 1176 0.000251
32 1185 0.000098
32 1189 0.000659
32 1200 0.030680
32 1201 0.000052
32 1231 0.000046
32 1240 0.010922
32 1252 0.002584
32 1255 0.130574
32 1264 0.000087
32 1297 0.000074
32 1304 0.000093
32 1313 0.000037
32 1320 0.000217
32 1322 0.000026
32 1353 0.000210
32 1359 0.000013
32 1372 0.001144
32 1391 0.000027
32 1403 0.024988
32 1405 0.003850
32 1408 0.000002
32 1413 0.000124
32 1426 0.000005
32 1433 0.018654
32 1437 0.007808
32 1456 0.001250
32 1457 0.000174
32 1470 0.039887
32 1480 0.003069
32 1485 0.001894
32 1517 0.010450
32 1529 0.000540
32 1596 0.000019
32 1613 0.003695
32 1628 0.000654
32 1630 0.017763
32 1664 0.000037
32 1822 0.000009
32 1831 0.000005
33 118 0.000548
33 1068 0.999452
34 114 0.272654
34 709 0.000101
34 766 0.727245
35 114 0.995713
35 598 0.002059
35 899 0.000028
35 1820 0.002200
36 114 0.015130
36 123 0.000472
36 246 0.003230
36 391 0.180178
36 435 0.006365
36 500 0.032715
36 711 0.582713
36 731 0.006195
36 875 0.000302
36 1068 0.002210
36 1162 0.018870
36 1200 0.044105
36 1252 0.006120
36 1255 0.095482
36 1353 0.000227
36 1428 0.000151
36 1480 0.005534
37 114 0.186596
37 356 0.002047
37 389 0.002005
37 709 0.259557
37 766 0.532948
37 1200 0.016122
37 1433 0.000626
37 1613 0.000100
38 145 0.000323
38 146 0.000072
38 215 0.264825
38 348 0.000009
38 383 0.047104
38 498 0.075521
38 500 0.043370
38 545 0.000081
38 631 0.000036
38 651 0.000018
38 685 0.020976
38 692 0.000117
38 700 0.000054
38 702 0.285595
38 749 0.000018
38 766 0.160412
38 902 0.029359
38 1037 0.000287
38 1090 0.036055
38 1220 0.000054
38 1221 0.000162
38 1252 0.000027
38 1320 0.028148
38 1573 0.007333
38 1847 0.000009
38 1858 0.000036
39 145 0.000814
39 335 0.000554
39 389 0.003371
39 391 0.744894
39 494 0.001189
39 536 0.002801
39 598 0.000700
39 711 0.219405
39 719 0.003746
39 872 0.000570
39 978 0.001808
39 994 0.001401
39 1008 0.004170
39 1068 0.000521
39 1072 0.001808
39 1109 0.000782
39 1162 0.001450
39 1176 0.002834
39 1426 0.000456
39 1541 0.003746
39 1629 0.000798
39 1645 0.000570
39 1664 0.001612
40 32 0.000064
40 196 0.000214
40 271 0.006435
40 877 0.277717
40 1255 0.000021
40 1304 0.000032
40 1350 0.019263
40 1433 0.056087
40 1437 0.568755
40 1480 0.071410
41 29 0.000003
41 60 0.002025
41 75 0.002209
41 114 0.085467
41 117 0.000178
41 169 0.000259
41 206 0.000348
41 215 0.062047
41 218 0.000158
41 238 0.000004
41 239 0.003936
41 256 0.001100
41 258 0.002708
41 272 0.000732
41 296 0.000873
41 311 0.006751
41 317 0.004463
41 321 0.001510
41 344 0.000502
41 353 0.001659
41 356 0.000852
41 361 0.000347
41 375 0.001278
41 381 0.001401
41 391 0.000308
41 435 0.028711
41 489 0.001206
41 508 0.002354
41 526 0.217003
41 560 0.000272
41 610 0.000176
41 613 0.001155
41 618 0.005128
41 635 0.000164
41 709 0.001028
41 711 0.000417
41 716 0.000178
41 731 0.000257
41 748 0.002471
41 760 0.000075
41 780 0.000321
41 880 0.002946
41 926 0.000220
41 947 0.000069
41 970 0.000158
41 978 0.000181
41 982 0.207701
41 1011 0.001931
41 1022 0.000096
41 1043 0.000181
41 1066 0.000105
41 1068 0.000185
41 1072 0.000284
41 1101 0.091519
41 1109 0.000130
41 1176 0.000132
41 1200 0.000850
41 1202 0.000149
41 1221 0.000009
41 1231 0.032095
41 1250 0.000665
41 1252 0.000200
41 1258 0.001205
41 1264 0.006864
41 1320 0.002010
41 1328 0.001060
41 1353 0.003348
