dim 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dim 1
1 2 0.125000
1 3 0.875000
2 1 0.000113
2 11 0.000113
2 282 0.000013
2 25 0.000953
2 283 0.012768
2 31 0.001919
2 284 0.000840
2 32 0.825681
2 285 0.000314
2 286 0.000025
2 287 0.000013
2 288 0.000753
2 289 0.001091
2 290 0.000025
2 291 0.000013
2 292 0.001392
2 293 0.008027
2 5 0.005631
2 294 0.000025
2 295 0.000100
2 296 0.001166
2 297 0.031468
2 298 0.000351
2 299 0.000539
2 3 0.033374
2 300 0.000050
2 301 0.000163
2 302 0.000263
2 303 0.005318
2 34 0.001129
2 304 0.038892
2 305 0.026137
2 306 0.000050
2 307 0.000351
2 308 0.000088
2 309 0.000665
2 310 0.000025
2 311 0.000088
2 312 0.000075
3 1 0.002514
3 2 0.963721
3 289 0.005388
3 297 0.001078
3 303 0.002155
3 304 0.005747
3 305 0.019397
4 5 1.000000
5 4 0.000105
5 12 0.011585
5 18 0.012555
5 29 0.000839
5 38 0.000288
5 39 0.000970
5 40 0.000026
5 41 0.000996
5 2 0.012293
5 283 0.000105
5 32 0.688902
5 290 0.000131
5 293 0.000026
5 22 0.000970
5 425 0.000446
5 426 0.000577
5 1264 0.073574
5 297 0.000105
5 921 0.000052
5 304 0.000026
5 1265 0.058634
5 19 0.136349
5 531 0.000079
5 532 0.000105
5 1266 0.000052
5 369 0.000183
5 450 0.000026
6 7 0.000354
6 8 0.999646
7 6 0.000295
7 810 0.002948
7 833 0.033309
7 1068 0.237583
7 747 0.083419
7 8 0.642447
8 6 0.230982
8 136 0.000409
8 7 0.078247
8 833 0.649963
8 1068 0.034546
8 747 0.002142
8 189 0.003335
8 1532 0.000294
8 200 0.000082
9 10 1.000000
10 216 0.002333
10 338 0.000004
10 359 0.000007
10 364 0.000005
10 246 0.000017
10 46 0.192643
10 128 0.000001
10 314 0.000002
10 722 0.000005
10 748 0.000007
10 581 0.000002
10 129 0.000044
10 546 0.000098
10 360 0.000012
10 791 0.000005
10 697 0.000013
10 838 0.000005
10 839 0.000005
10 51 0.000401
10 133 0.000008
10 588 0.000002
10 379 0.000003
10 463 0.000003
10 135 0.000048
10 136 0.000030
10 591 0.000194
10 936 0.000004
10 924 0.000006
10 464 0.000001
10 52 0.000112
10 55 0.037497
10 937 0.000017
10 140 0.000002
10 252 0.000023
10 143 0.003980
10 146 0.040579
10 147 0.000042
10 1066 0.000002
10 59 0.000137
10 60 0.058305
10 148 0.000008
10 754 0.000001
10 108 0.000004
10 61 0.000001
10 150 0.000097
10 611 0.000005
10 1269 0.000001
10 1149 0.000003
10 1152 0.000001
10 1155 0.000026
10 62 0.092635
10 63 0.000046
10 1177 0.000007
10 962 0.000006
10 1185 0.000001
10 963 0.000014
10 1197 0.000004
10 1187 0.000006
10 66 0.000019
10 221 0.000002
10 1236 0.000001
10 1240 0.000001
10 157 0.000144
10 68 0.000001
10 223 0.000013
10 225 0.000028
10 69 0.021121
10 792 0.000004
10 159 0.000015
10 70 0.000023
10 71 0.000012
10 1270 0.000005
10 842 0.000093
10 465 0.000023
10 1271 0.000001
10 854 0.000001
10 236 0.000004
10 164 0.000025
10 75 0.000003
10 752 0.000007
10 1272 0.000001
10 855 0.001633
10 633 0.000001
10 80 0.161520
10 81 0.000026
10 82 0.000077
10 1273 0.000002
10 171 0.000015
10 709 0.000006
10 83 0.000037
10 84 0.000010
10 1274 0.000004
10 843 0.000025
10 1275 0.000001
10 85 0.000028
10 174 0.000003
10 227 0.001244
10 87 0.000005
10 1178 0.000027
10 1179 0.000015
10 1276 0.000007
10 1277 0.000001
10 897 0.000003
10 88 0.114477
10 898 0.000004
10 229 0.000010
10 181 0.140301
10 90 0.034031
10 719 0.000004
10 860 0.000001
10 901 0.000001
10 861 0.000013
10 1278 0.000002
10 269 0.000005
10 1279 0.000007
10 1280 0.000002
10 795 0.000014
10 1281 0.000005
10 188 0.000050
10 864 0.000008
10 271 0.000005
10 1282 0.000002
10 1283 0.000002
10 472 0.000006
10 97 0.061122
10 865 0.000008
10 352 0.000067
10 192 0.000001
10 354 0.000005
10 830 0.000013
10 101 0.000005
10 102 0.000001
10 673 0.000128
10 851 0.000001
10 274 0.000003
10 230 0.000002
10 1284 0.000005
10 275 0.000003
10 203 0.032140
10 473 0.000019
10 1285 0.000004
10 1286 0.000001
10 1287 0.000001
10 869 0.000012
10 277 0.000008
10 105 0.000019
10 1288 0.000007
10 1241 0.000003
10 1289 0.000003
10 1290 0.000008
10 278 0.000008
10 687 0.000001
10 1291 0.000005
10 1292 0.000001
10 1293 0.000003
10 1128 0.000006
10 871 0.000001
10 212 0.000019
10 106 0.001678
10 231 0.000019
10 232 0.000004
11 2 1.000000
12 5 1.000000
13 14 0.500000
13 15 0.500000
14 13 0.000099
14 115 0.025604
14 326 0.000230
14 32 0.413448
14 397 0.000903
14 116 0.049402
14 21 0.002447
14 944 0.000066
14 290 0.000920
14 826 0.016752
14 22 0.030876
14 329 0.002234
14 1191 0.000148
14 551 0.000296
14 118 0.045099
14 827 0.000411
14 1069 0.044689
14 507 0.002825
14 391 0.000279
14 119 0.016029
14 514 0.043490
14 120 0.059486
14 392 0.063165
14 393 0.001347
14 121 0.027345
14 886 0.000066
14 43 0.002858
14 122 0.024668
14 828 0.000608
14 526 0.000214
14 703 0.000066
14 1431 0.000049
14 535 0.000181
14 704 0.000099
14 15 0.068700
14 1099 0.000016
14 123 0.054773
14 205 0.000115
15 115 0.015310
15 116 0.020554
15 826 0.002307
15 117 0.001258
15 118 0.007341
15 1069 0.003356
15 119 0.004614
15 514 0.001678
15 120 0.042366
15 14 0.824035
15 392 0.001888
15 121 0.052433
15 122 0.022232
15 123 0.000629
16 17 1.000000
17 547 0.000122
17 396 0.002442
17 32 0.485348
17 488 0.028144
17 397 0.137546
17 548 0.025336
17 422 0.027534
17 398 0.000061
17 399 0.000061
17 549 0.000916
17 329 0.001954
17 550 0.049512
17 551 0.000244
17 501 0.042979
17 431 0.000061
17 401 0.000916
17 402 0.087973
17 552 0.000183
17 27 0.009280
17 405 0.000183
17 553 0.000244
17 508 0.003297
17 406 0.001038
17 511 0.000244
17 334 0.000061
17 523 0.004335
17 411 0.028571
17 525 0.030464
17 527 0.016728
17 554 0.007814
17 413 0.002198
17 535 0.002991
17 555 0.001221
